JOB_NAME,PROCESS_RUN_SK,BATCH_SK,BATCH_STATUS,CREATE_TS,STATUS_UPDATE_TS,ROWS_ADDED_COUNT,ROWS_UPDATED_COUNT,ROWS_DELETED_COUNT,ROWS_DUPLICATED_COUNT,ROWS_SKIPPED_COUNT,ROWS_ERROR_COUNT,TARGET_ENTITY
PRES2K_PROD_CONFIG--GENERIC,3416042522,1075292935,COMPLETED,2024-02-15T18:21:01Z,2024-02-15T18:21:06Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416042158,1075292754,COMPLETED,2024-02-15T18:18:00Z,2024-02-15T18:21:34Z,1447,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416041964,1075292656,COMPLETED,2024-02-15T18:16:22Z,2024-02-15T18:20:36Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416040762,1075292055,COMPLETED,2024-02-15T18:06:21Z,2024-02-15T18:06:28Z,-1,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416040258,1075291804,COMPLETED,2024-02-15T18:02:10Z,2024-02-15T18:08:34Z,55175,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416040232,1075291790,COMPLETED,2024-02-15T18:01:56Z,2024-02-15T18:07:54Z,1839,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416038922,1075291135,COMPLETED,2024-02-15T17:51:01Z,2024-02-15T17:51:06Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416038478,1075290913,COMPLETED,2024-02-15T17:47:19Z,2024-02-15T17:51:56Z,1983,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416038278,1075290814,COMPLETED,2024-02-15T17:45:40Z,2024-02-15T17:50:42Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416037200,1075290275,COMPLETED,2024-02-15T17:36:41Z,2024-02-15T17:36:52Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416036708,1075290028,COMPLETED,2024-02-15T17:32:34Z,2024-02-15T17:37:50Z,2053,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416036530,1075289939,COMPLETED,2024-02-15T17:31:05Z,2024-02-15T17:35:50Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416035370,1075289359,COMPLETED,2024-02-15T17:21:25Z,2024-02-15T17:21:37Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416034788,1075289068,COMPLETED,2024-02-15T17:16:34Z,2024-02-15T17:20:24Z,2030,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416034726,1075289037,COMPLETED,2024-02-15T17:16:03Z,2024-02-15T17:18:52Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416033550,1075288449,COMPLETED,2024-02-15T17:06:16Z,2024-02-15T17:06:23Z,-1,-1,-1,-1,-1,-1,
SEM_SF_RFO_GOLD_DAILY_HAWK--CDWSFGBI,3416033386,1075288367,COMPLETED,2024-02-15T17:04:53Z,2024-02-15T17:51:30Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416033092,1075288220,COMPLETED,2024-02-15T17:02:26Z,2024-02-15T17:07:57Z,3421,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416032980,1075288164,COMPLETED,2024-02-15T17:01:30Z,2024-02-15T17:05:32Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416031734,1075287541,COMPLETED,2024-02-15T16:51:07Z,2024-02-15T16:51:13Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416031274,1075287311,COMPLETED,2024-02-15T16:47:17Z,2024-02-15T16:50:12Z,3199,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416031186,1075287268,COMPLETED,2024-02-15T16:46:34Z,2024-02-15T16:50:56Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416029888,1075286619,COMPLETED,2024-02-15T16:35:45Z,2024-02-15T16:35:59Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416029352,1075286350,COMPLETED,2024-02-15T16:31:16Z,2024-02-15T16:35:17Z,2574,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416029336,1075286343,COMPLETED,2024-02-15T16:31:09Z,2024-02-15T16:35:30Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416028148,1075285748,COMPLETED,2024-02-15T16:21:14Z,2024-02-15T16:21:24Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416027602,1075285476,COMPLETED,2024-02-15T16:16:42Z,2024-02-15T16:20:00Z,4059,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416027502,1075285426,COMPLETED,2024-02-15T16:15:52Z,2024-02-15T16:20:07Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416026386,1075284867,COMPLETED,2024-02-15T16:06:33Z,2024-02-15T16:06:45Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416025806,1075284578,COMPLETED,2024-02-15T16:01:44Z,2024-02-15T16:07:34Z,4876,-1,-1,-1,-1,-1,
EXP_ZTASSETDISPOSE--GENERIC,3416025802,1075284575,COMPLETED,2024-02-15T16:01:41Z,2024-02-15T16:05:58Z,55175,-1,-1,-1,-1,-1,
PRES2K_PROD_CONFIG--GENERIC,3416024560,1075283955,COMPLETED,2024-02-15T15:51:21Z,2024-02-15T15:51:32Z,-1,-1,-1,-1,-1,-1,
EXT_HANA_SEMS_ISSUE_TXN--GENERIC,3416024024,1075283687,COMPLETED,2024-02-15T15:46:53Z,2024-02-15T15:51:24Z,2883,-1,-1,-1,-1,-1,
