date,state,count
"2024-02-25 05:00",same,1
"2024-02-25 06:00",diff,3
"2024-02-25 06:00",same,3
"2024-02-25 07:00",diff,164
"2024-02-25 07:00",same,916
"2024-02-25 08:00",diff,440
"2024-02-25 08:00",same,1500
"2024-02-25 09:00",diff,100
"2024-02-25 09:00",same,800
"2024-02-25 10:00",diff,69
"2024-02-25 10:00",same,601
"2024-02-25 11:00",diff,63
"2024-02-25 11:00",same,588
"2024-02-25 12:00",diff,155
"2024-02-25 12:00",same,1053
"2024-02-25 13:00",diff,200
"2024-02-25 13:00",same,1003
"2024-02-25 14:00",diff,226
"2024-02-25 14:00",same,927
"2024-02-25 15:00",diff,155
"2024-02-25 15:00",same,1036
"2024-02-25 16:00",diff,169
"2024-02-25 16:00",same,1051
"2024-02-25 17:00",diff,196
"2024-02-25 17:00",same,1007
"2024-02-25 18:00",diff,228
"2024-02-25 18:00",same,1072
"2024-02-25 19:00",diff,233
"2024-02-25 19:00",same,969
"2024-02-25 20:00",diff,191
"2024-02-25 20:00",same,1048
"2024-02-25 21:00",diff,204
"2024-02-25 21:00",same,941
"2024-02-25 22:00",diff,140
"2024-02-25 22:00",same,978
"2024-02-25 23:00",diff,169
"2024-02-25 23:00",same,1037
