date,state,count
"2024-02-27 00:00",diff,226
"2024-02-27 00:00",same,1104
"2024-02-27 01:00",diff,255
"2024-02-27 01:00",same,1074
"2024-02-27 02:00",diff,175
"2024-02-27 02:00",same,1056
"2024-02-27 03:00",diff,222
"2024-02-27 03:00",same,1078
"2024-02-27 04:00",diff,187
"2024-02-27 04:00",same,1200
"2024-02-27 05:00",diff,254
"2024-02-27 05:00",same,1081
"2024-02-27 06:00",diff,240
"2024-02-27 06:00",same,1329
"2024-02-27 07:00",diff,201
"2024-02-27 07:00",same,1133
"2024-02-27 08:00",diff,186
"2024-02-27 08:00",same,1263
"2024-02-27 09:00",diff,282
"2024-02-27 09:00",same,1040
"2024-02-27 10:00",diff,208
"2024-02-27 10:00",same,1116
"2024-02-27 11:00",diff,232
"2024-02-27 11:00",same,1026
"2024-02-27 12:00",diff,197
"2024-02-27 12:00",same,1174
"2024-02-27 13:00",diff,295
"2024-02-27 13:00",same,1020
"2024-02-27 14:00",diff,242
"2024-02-27 14:00",same,971
"2024-02-27 15:00",diff,196
"2024-02-27 15:00",same,1018
"2024-02-27 16:00",diff,173
"2024-02-27 16:00",same,1173
"2024-02-27 17:00",diff,278
"2024-02-27 17:00",same,989
"2024-02-27 18:00",diff,271
"2024-02-27 18:00",same,1003
"2024-02-27 19:00",diff,157
"2024-02-27 19:00",same,1087
"2024-02-27 20:00",diff,233
"2024-02-27 20:00",same,1047
"2024-02-27 21:00",diff,194
"2024-02-27 21:00",same,993
"2024-02-27 22:00",diff,201
"2024-02-27 22:00",same,1101
"2024-02-27 23:00",diff,208
"2024-02-27 23:00",same,1105
